import time: self [us] | cumulative | imported package
import time:       259 |        259 |                         torch.utils.data._utils.fetch
import time:       364 |       6682 |                       torch.utils.data._utils
import time:        89 |         89 |                       dill
import time:       229 |       7000 |                     torch.utils.data._utils.serialization
import time:       703 |       7911 |                   torch.utils.data.datapipes.utils.common
import time:        89 |         89 |                   dill
import time:       958 |       9914 |                 torch.utils.data.datapipes.datapipe
import time:       371 |      10285 |               torch.utils.data.datapipes.iter.utils
import time:       433 |        433 |                 torch.utils.data.datapipes._decorator
import time:       245 |        245 |                       torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       271 |        515 |                     torch.utils.data.datapipes.dataframe.structures
import time:       912 |       1427 |                   torch.utils.data.datapipes.dataframe.dataframes
import time:       694 |        694 |                   torch.utils.data.datapipes.dataframe.datapipes
import time:       260 |       2379 |                 torch.utils.data.datapipes.dataframe
import time:       619 |       3430 |               torch.utils.data.datapipes.iter.callable
import time:       637 |        637 |               torch.utils.data.datapipes.iter.combinatorics
import time:      1360 |       1360 |               torch.utils.data.datapipes.iter.combining
import time:       762 |        762 |               torch.utils.data.datapipes.iter.filelister
import time:       486 |        486 |               torch.utils.data.datapipes.iter.fileopener
import time:       572 |        572 |                 torch.utils.data.datapipes.iter.sharding
import time:       747 |       1319 |               torch.utils.data.datapipes.iter.grouping
import time:       482 |        482 |                 torch.utils.data.datapipes.utils.decoder
import time:       498 |        979 |               torch.utils.data.datapipes.iter.routeddecoder
import time:       394 |        394 |               torch.utils.data.datapipes.iter.selecting
import time:       326 |        326 |               torch.utils.data.datapipes.iter.streamreader
import time:       621 |      20594 |             torch.utils.data.datapipes.iter
import time:       473 |        473 |               torch.utils.data.datapipes.map.callable
import time:       512 |        512 |               torch.utils.data.datapipes.map.combinatorics
import time:       729 |        729 |               torch.utils.data.datapipes.map.combining
import time:       575 |        575 |               torch.utils.data.datapipes.map.grouping
import time:       279 |        279 |               torch.utils.data.datapipes.map.utils
import time:       345 |       2911 |             torch.utils.data.datapipes.map
import time:       305 |      23810 |           torch.utils.data.datapipes
import time:        41 |      23850 |         torch.utils.data.datapipes.datapipe
import time:       422 |        422 |             torch.utils.data.graph
import time:       291 |        713 |           torch.utils.data.graph_settings
import time:       997 |       1709 |         torch.utils.data.dataloader
import time:       348 |        348 |         torch.utils.data.distributed
import time:       452 |      28405 |       torch.utils.data
import time:       203 |        203 |       torch.__config__
import time:       181 |        181 |       torch.__future__
import time:      1280 |       1280 |           gzip
import time:      3238 |       3238 |             torch.profiler._utils
import time:      6369 |       9606 |           torch.profiler._memory_profiler
import time:      1045 |      11930 |         torch.profiler.profiler
import time:       445 |        445 |         torch.profiler.itt
import time:       339 |      12713 |       torch.profiler
import time:       235 |        235 |       torch.ao
import time:       348 |        348 |                 torch.ao.nn
import time:       560 |        560 |                   torch.ao.nn.quantizable.modules.activation
import time:       602 |        602 |                   torch.ao.nn.quantizable.modules.rnn
import time:       378 |       1539 |                 torch.ao.nn.quantizable.modules
import time:       402 |       2287 |               torch.ao.nn.quantizable
import time:        85 |       2371 |             torch.ao.nn.quantizable.modules
import time:        67 |       2438 |           torch.ao.nn.quantizable.modules.activation
import time:     18966 |      21403 |         torch.nn.quantizable.modules
import time:       229 |      21631 |       torch.nn.quantizable
import time:       753 |        753 |                     torch.ao.nn.quantized.modules.activation
import time:       285 |        285 |                     torch.ao.nn.quantized.modules.dropout
import time:       697 |        697 |                           torch.ao.nn.intrinsic.modules.fused
import time:       393 |       1089 |                         torch.ao.nn.intrinsic.modules
import time:       248 |       1336 |                       torch.ao.nn.intrinsic
import time:       366 |       1702 |                     torch.ao.nn.quantized.modules.batchnorm
import time:       417 |        417 |                     torch.ao.nn.quantized.modules.normalization
import time:       514 |        514 |                                 torch.ao.nn.qat.modules.linear
import time:       596 |        596 |                                 torch.ao.nn.qat.modules.conv
import time:       424 |        424 |                                 torch.ao.nn.qat.modules.embedding_ops
import time:       421 |       1953 |                               torch.ao.nn.qat.modules
import time:       274 |       2227 |                             torch.ao.nn.qat
import time:       578 |       2804 |                           torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       498 |        498 |                           torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       756 |        756 |                           torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       401 |       4457 |                         torch.ao.nn.intrinsic.qat.modules
import time:       322 |       4779 |                       torch.ao.nn.intrinsic.qat
import time:       347 |        347 |                       torch.ao.nn.quantized.modules.utils
import time:       888 |       6012 |                     torch.ao.nn.quantized.modules.conv
import time:       458 |        458 |                     torch.ao.nn.quantized.modules.linear
import time:       414 |        414 |                     torch.ao.nn.quantized.modules.embedding_ops
import time:       256 |        256 |                     torch.ao.nn.quantized.modules.rnn
import time:       351 |        351 |                     torch.ao.nn.quantized.modules.functional_modules
import time:       598 |      11242 |                   torch.ao.nn.quantized.modules
import time:        46 |      11287 |                 torch.ao.nn.quantized.modules.utils
import time:       500 |      11787 |               torch.ao.nn.quantized.functional
import time:       312 |      12098 |             torch.ao.nn.quantized
import time:       398 |        398 |               torch.ao.nn.quantized.dynamic.modules.linear
import time:       768 |        768 |               torch.ao.nn.quantized.dynamic.modules.rnn
import time:       486 |        486 |               torch.ao.nn.quantized.dynamic.modules.conv
import time:       373 |       2023 |             torch.ao.nn.quantized.dynamic.modules
import time:       261 |      14381 |           torch.ao.nn.quantized.dynamic
import time:       342 |      14722 |         torch.nn.quantized.dynamic
import time:       202 |        202 |         torch.nn.quantized.functional
import time:       253 |        253 |         torch.nn.quantized.modules
import time:       465 |      15641 |       torch.nn.quantized
import time:       315 |        315 |                       torch.ao.nn.qat.dynamic.modules.linear
import time:       314 |        628 |                     torch.ao.nn.qat.dynamic.modules
import time:       299 |        926 |                   torch.ao.nn.qat.dynamic
import time:        36 |        961 |                 torch.ao.nn.qat.dynamic.modules
import time:        43 |       1004 |               torch.ao.nn.qat.dynamic.modules.linear
import time:       327 |       1330 |             torch.nn.qat.dynamic.modules.linear
import time:       392 |       1722 |           torch.nn.qat.dynamic.modules
import time:       358 |       2079 |         torch.nn.qat.dynamic
import time:       254 |        254 |           torch.nn.qat.modules.conv
import time:       177 |        177 |           torch.nn.qat.modules.embedding_ops
import time:       171 |        171 |           torch.nn.qat.modules.linear
import time:       332 |        932 |         torch.nn.qat.modules
import time:       463 |       3473 |       torch.nn.qat
import time:       277 |        277 |           torch.nn.intrinsic.modules.fused
import time:       308 |        584 |         torch.nn.intrinsic.modules
import time:       266 |        266 |             torch.nn.intrinsic.qat.modules.linear_relu
import time:       182 |        182 |             torch.nn.intrinsic.qat.modules.linear_fused
import time:       190 |        190 |             torch.nn.intrinsic.qat.modules.conv_fused
import time:       333 |        970 |           torch.nn.intrinsic.qat.modules
import time:       209 |       1178 |         torch.nn.intrinsic.qat
import time:      1093 |       1093 |                   torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       836 |        836 |                   torch.ao.nn.intrinsic.quantized.modules.conv_relu
import time:       494 |        494 |                   torch.ao.nn.intrinsic.quantized.modules.bn_relu
import time:       464 |        464 |                   torch.ao.nn.intrinsic.quantized.modules.conv_add
import time:       589 |       3474 |                 torch.ao.nn.intrinsic.quantized.modules
import time:       280 |       3754 |               torch.ao.nn.intrinsic.quantized
import time:       437 |       4191 |             torch.nn.intrinsic.quantized.modules.linear_relu
import time:       201 |        201 |             torch.nn.intrinsic.quantized.modules.conv_relu
import time:       183 |        183 |             torch.nn.intrinsic.quantized.modules.bn_relu
import time:       326 |       4899 |           torch.nn.intrinsic.quantized.modules
import time:       358 |        358 |                     torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       297 |        655 |                   torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       211 |        865 |                 torch.ao.nn.intrinsic.quantized.dynamic
import time:       256 |       1120 |               torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       286 |       1406 |             torch.nn.intrinsic.quantized.dynamic.modules
import time:       209 |       1614 |           torch.nn.intrinsic.quantized.dynamic
import time:       228 |       6740 |         torch.nn.intrinsic.quantized
import time:       317 |       8818 |       torch.nn.intrinsic
import time:      1069 |       1069 |       torch._tensor_docs
import time:       215 |        215 |       torch._storage_docs
import time:       652 |        652 |           torch._library.utils
import time:       385 |       1037 |         torch._library.abstract_impl
import time:       261 |        261 |         torch._library.simple_registry
import time:       267 |       1564 |       torch._library
import time:       385 |        385 |                     torch.ao.quantization.quant_type
import time:       228 |        228 |                         torch.fx._compatibility
import time:        89 |         89 |                                 optree
import time:       345 |        433 |                               torch.utils._cxx_pytree
import time:        77 |         77 |                                 optree
import time:       274 |        350 |                               torch.utils._cxx_pytree
import time:       381 |       1163 |                             torch.fx.immutable_collections
import time:      1086 |       1086 |                             torch.fx.operator_schemas
import time:      9217 |      11466 |                           torch.fx.node
import time:       493 |        493 |                           torch.fx._pytree
import time:      3186 |      15144 |                         torch.fx.graph
import time:       995 |      16367 |                       torch.fx.graph_module
import time:       256 |        256 |                           torch.fx.traceback
import time:      1303 |       1559 |                         torch.fx.proxy
import time:      1568 |       3126 |                       torch.fx._symbolic_trace
import time:       180 |        180 |                         torch.fx.config
import time:      1207 |       1387 |                       torch.fx.interpreter
import time:      2396 |       2396 |                       torch.fx.subgraph_rewriter
import time:       471 |      23744 |                     torch.fx
import time:       847 |      24975 |                   torch.ao.quantization.utils
import time:      1094 |      26068 |                 torch.ao.quantization.observer
import time:       910 |      26978 |               torch.ao.quantization.fake_quantize
import time:       417 |        417 |                 torch.ao.quantization.fuser_method_mappings
import time:       387 |        804 |               torch.ao.quantization.fuse_modules
import time:       906 |        906 |               torch.ao.quantization.qconfig
import time:       342 |        342 |               torch.ao.quantization.qconfig_mapping
import time:       296 |        296 |                       torch.ao.nn.quantized.reference.modules.utils
import time:       430 |        725 |                     torch.ao.nn.quantized.reference.modules.linear
import time:       601 |        601 |                     torch.ao.nn.quantized.reference.modules.conv
import time:      1966 |       1966 |                     torch.ao.nn.quantized.reference.modules.rnn
import time:       441 |        441 |                     torch.ao.nn.quantized.reference.modules.sparse
import time:       408 |       4140 |                   torch.ao.nn.quantized.reference.modules
import time:       240 |       4379 |                 torch.ao.nn.quantized.reference
import time:       349 |        349 |                         torch.ao.nn.sparse.quantized.linear
import time:       227 |        227 |                         torch.ao.nn.sparse.quantized.utils
import time:       460 |       1035 |                       torch.ao.nn.sparse.quantized.dynamic.linear
import time:       284 |       1319 |                     torch.ao.nn.sparse.quantized.dynamic
import time:       321 |       1640 |                   torch.ao.nn.sparse.quantized
import time:       242 |       1882 |                 torch.ao.nn.sparse
import time:       264 |        264 |                 torch.ao.quantization.stubs
import time:       829 |       7353 |               torch.ao.quantization.quantization_mappings
import time:       406 |        406 |               torch.ao.quantization.quantize
import time:       294 |        294 |               torch.ao.quantization.quantize_jit
import time:       205 |        205 |                 torch.ao.quantization.pt2e
import time:       354 |        559 |               torch.ao.quantization.pt2e.eval_utils
import time:       197 |        197 |               torch.ao.quantization.pt2e.generate_numeric_debug_handle
import time:       822 |      38656 |             torch.ao.quantization
import time:        52 |      38708 |           torch.ao.quantization.quantize
import time:       320 |      39027 |         torch.quantization.quantize
import time:       211 |        211 |         torch.quantization.observer
import time:       194 |        194 |         torch.quantization.qconfig
import time:       380 |        380 |         torch.quantization.fake_quantize
import time:      1270 |       1270 |         torch.quantization.fuse_modules
import time:       748 |        748 |         torch.quantization.stubs
import time:       562 |        562 |         torch.quantization.quant_type
import time:       632 |        632 |         torch.quantization.quantize_jit
import time:       548 |        548 |         torch.quantization.quantization_mappings
import time:       459 |        459 |         torch.quantization.fuser_method_mappings
import time:       674 |      44699 |       torch.quantization
import time:       636 |        636 |       torch.quasirandom
import time:       520 |        520 |       torch.multiprocessing._atfork
import time:      1421 |       1421 |       torch._lobpcg
import time:       696 |        696 |               torch.masked.maskedtensor.core
import time:      2506 |       3201 |             torch.masked.maskedtensor.binary
import time:       786 |        786 |             torch.masked.maskedtensor.passthrough
import time:       345 |        345 |               torch.masked.maskedtensor.creation
import time:      1052 |       1396 |             torch.masked.maskedtensor.reductions
import time:      3448 |       3448 |             torch.masked.maskedtensor.unary
import time:       852 |       9681 |           torch.masked.maskedtensor
import time:        70 |       9751 |         torch.masked.maskedtensor.core
import time:       714 |        714 |           torch.masked._docs
import time:      1914 |       2628 |         torch.masked._ops
import time:       798 |      13176 |       torch.masked
import time:       743 |        743 |                     torch._dispatch
import time:       785 |        785 |                           unittest.util
import time:      1160 |       1945 |                         unittest.result
import time:      1380 |       1380 |                         unittest.case
import time:       733 |        733 |                         unittest.suite
import time:       968 |        968 |                         unittest.loader
import time:      2164 |       2164 |                             gettext
import time:      2519 |       4683 |                           argparse
import time:       752 |        752 |                             unittest.signals
import time:      1548 |       2300 |                           unittest.runner
import time:       980 |       7962 |                         unittest.main
import time:       884 |      13869 |                       unittest
import time:       495 |        495 |                             concurrent
import time:      1145 |       1145 |                             concurrent.futures._base
import time:       653 |       2292 |                           concurrent.futures
import time:       632 |        632 |                           asyncio.constants
import time:       499 |        499 |                           asyncio.coroutines
import time:       573 |        573 |                             asyncio.format_helpers
import time:       682 |        682 |                               asyncio.base_futures
import time:      1171 |       1171 |                               asyncio.exceptions
import time:       595 |        595 |                               asyncio.base_tasks
import time:      2327 |       4774 |                             _asyncio
import time:      1262 |       6608 |                           asyncio.events
import time:      1112 |       1112 |                           asyncio.futures
import time:       728 |        728 |                           asyncio.protocols
import time:       800 |        800 |                             asyncio.transports
import time:       376 |        376 |                             asyncio.log
import time:      1383 |       2558 |                           asyncio.sslproto
import time:       441 |        441 |                               asyncio.mixins
import time:       970 |       1410 |                             asyncio.locks
import time:      2157 |       2157 |                               asyncio.timeouts
import time:       992 |       3148 |                             asyncio.tasks
import time:       739 |       5296 |                           asyncio.staggered
import time:       612 |        612 |                           asyncio.trsock
import time:      2249 |      22581 |                         asyncio.base_events
import time:       633 |        633 |                         asyncio.runners
import time:       507 |        507 |                         asyncio.queues
import time:       652 |        652 |                         asyncio.streams
import time:       632 |        632 |                         asyncio.subprocess
import time:       825 |        825 |                         asyncio.taskgroups
import time:       698 |        698 |                         asyncio.threads
import time:       955 |        955 |                           asyncio.base_subprocess
import time:      1513 |       1513 |                           asyncio.selector_events
import time:      1597 |       4065 |                         asyncio.unix_events
import time:       969 |      31558 |                       asyncio
import time:       877 |        877 |                       pkgutil
import time:      3232 |      49534 |                     unittest.mock
import time:      1268 |      51544 |                   torch._dispatch.python
import time:       569 |        569 |                     torch.utils._traceback
import time:       672 |        672 |                     torch.utils.weak
import time:      6145 |       7384 |                   torch._guards
import time:      1159 |      60086 |                 torch.fx.passes.shape_prop
import time:       130 |        130 |                 pydot
import time:      1030 |      61245 |               torch.fx.passes.graph_drawer
import time:       850 |        850 |               torch.fx.passes.graph_manipulation
import time:      1973 |       1973 |                       torch.fx.passes.utils.matcher_utils
import time:       938 |       2910 |                     torch.fx.passes.utils.common
import time:       526 |       3435 |                   torch.fx.passes.utils
import time:      1556 |       1556 |                   torch.fx.passes.tools_common
import time:      1602 |       6593 |                 torch.fx.passes.split_utils
import time:      1426 |       8018 |               torch.fx.passes.net_min_base
import time:      1002 |       1002 |               torch.fx.passes.operator_support
import time:       485 |        485 |               torch.fx.passes.param_fetch
import time:       540 |        540 |                       torch._custom_op
import time:      2593 |       2593 |                           torch._logging._internal
import time:       554 |       3146 |                         torch._logging._registrations
import time:       525 |       3670 |                       torch._logging
import time:      1104 |       1104 |                       torch._subclasses.meta_utils
import time:       373 |        373 |                       torch.utils._mode_utils
import time:       371 |        371 |                       torch.utils._stats
import time:      6178 |      12235 |                     torch._subclasses.fake_tensor
import time:       600 |        600 |                     torch._subclasses.fake_utils
import time:       659 |      13493 |                   torch._subclasses
import time:        50 |      13542 |                 torch._subclasses.fake_tensor
import time:      2028 |      15570 |               torch.fx.passes.reinplace
import time:      1044 |       1044 |               torch.fx.passes.split_module
import time:      2065 |       2065 |               torch.fx.passes.splitter_base
import time:       998 |      91273 |             torch.fx.passes
import time:    383218 |     383218 |               torch.fx.passes.infra.pass_base
import time:    599235 |     982452 |             torch.fx.passes.infra.pass_manager
import time:    588043 |    1661767 |           torch.fx.passes.infra
import time:        41 |    1661807 |         torch.fx.passes.infra.pass_base
import time:    441612 |     441612 |             torch.fx.experimental
import time:    398823 |     398823 |               torch.fx.experimental._sym_dispatch_mode
import time:    682025 |    1080847 |             torch.fx.experimental.sym_node
import time:        99 |         99 |               optree
import time:       474 |        572 |             torch.utils._cxx_pytree
import time:    642283 |    2165313 |           torch.fx.experimental.proxy_tensor
import time:    493632 |     493632 |           torch.export.graph_signature
import time:    544487 |    3203431 |         torch.export.exported_program
import time:      1959 |    4867195 |       torch.export
import time:    513355 |     513355 |           torch._subclasses.functional_tensor
import time:    535653 |     535653 |           torch._higher_order_ops.utils
import time:    545063 |    1594070 |         torch._higher_order_ops.cond
import time:    459412 |    2053482 |       torch._higher_order_ops
import time:       101 |        101 |           optree
import time:       493 |        594 |         torch.utils._cxx_pytree
import time:        78 |         78 |           optree
import time:       302 |        379 |         torch.utils._cxx_pytree
import time:       139 |        139 |           optree
import time:       305 |        443 |         torch.utils._cxx_pytree
import time:       108 |        108 |           optree
import time:       447 |        555 |         torch.utils._cxx_pytree
import time:        87 |         87 |           optree
import time:       352 |        439 |         torch.utils._cxx_pytree
import time:        81 |         81 |           optree
import time:       305 |        385 |         torch.utils._cxx_pytree
import time:        81 |         81 |           optree
import time:       299 |        380 |         torch.utils._cxx_pytree
import time:        80 |         80 |           optree
import time:       306 |        385 |         torch.utils._cxx_pytree
import time:        85 |         85 |           optree
import time:       427 |        511 |         torch.utils._cxx_pytree
import time:        81 |         81 |           optree
import time:       306 |        386 |         torch.utils._cxx_pytree
import time:        83 |         83 |           optree
import time:       279 |        361 |         torch.utils._cxx_pytree
import time:        80 |         80 |           optree
import time:       296 |        375 |         torch.utils._cxx_pytree
import time:       102 |        102 |           optree
import time:       350 |        451 |         torch.utils._cxx_pytree
import time:       125 |        125 |           optree
import time:       368 |        492 |         torch.utils._cxx_pytree
import time:        88 |         88 |           optree
import time:       351 |        439 |         torch.utils._cxx_pytree
import time:        88 |         88 |           optree
import time:       381 |        469 |         torch.utils._cxx_pytree
import time:        83 |         83 |           optree
import time:       302 |        384 |         torch.utils._cxx_pytree
import time:        77 |         77 |           optree
import time:       285 |        362 |         torch.utils._cxx_pytree
import time:        79 |         79 |           optree
import time:       287 |        366 |         torch.utils._cxx_pytree
import time:        80 |         80 |           optree
import time:       279 |        359 |         torch.utils._cxx_pytree
import time:        77 |         77 |           optree
import time:       287 |        364 |         torch.utils._cxx_pytree
import time:        80 |         80 |           optree
import time:       288 |        367 |         torch.utils._cxx_pytree
import time:        82 |         82 |           optree
import time:       316 |        398 |         torch.utils._cxx_pytree
import time:       100 |        100 |           optree
import time:       653 |        752 |         torch.utils._cxx_pytree
import time:        83 |         83 |           optree
import time:       333 |        415 |         torch.utils._cxx_pytree
import time:        87 |         87 |           optree
import time:       416 |        503 |         torch.utils._cxx_pytree
import time:        86 |         86 |           optree
import time:       315 |        401 |         torch.utils._cxx_pytree
import time:        80 |         80 |           optree
import time:       308 |        387 |         torch.utils._cxx_pytree
import time:        82 |         82 |           optree
import time:       307 |        389 |         torch.utils._cxx_pytree
import time:       101 |        101 |           optree
import time:       446 |        546 |         torch.utils._cxx_pytree
import time:        93 |         93 |           optree
import time:       366 |        459 |         torch.utils._cxx_pytree
import time:        99 |         99 |           optree
import time:       444 |        543 |         torch.utils._cxx_pytree
import time:       156 |        156 |           optree
import time:       321 |        476 |         torch.utils._cxx_pytree
import time:        81 |         81 |           optree
import time:       300 |        381 |         torch.utils._cxx_pytree
import time:        79 |         79 |           optree
import time:       299 |        378 |         torch.utils._cxx_pytree
import time:        77 |         77 |           optree
import time:       285 |        361 |         torch.utils._cxx_pytree
import time:        85 |         85 |           optree
import time:       295 |        379 |         torch.utils._cxx_pytree
import time:        85 |         85 |           optree
import time:       295 |        379 |         torch.utils._cxx_pytree
import time:       100 |        100 |           optree
import time:       309 |        409 |         torch.utils._cxx_pytree
import time:        83 |         83 |           optree
import time:       314 |        397 |         torch.utils._cxx_pytree
import time:       173 |        173 |           optree
import time:       307 |        480 |         torch.utils._cxx_pytree
import time:        79 |         79 |           optree
import time:       302 |        381 |         torch.utils._cxx_pytree
import time:        82 |         82 |           optree
import time:       302 |        383 |         torch.utils._cxx_pytree
import time:        81 |         81 |           optree
import time:       332 |        412 |         torch.utils._cxx_pytree
import time:        87 |         87 |           optree
import time:       380 |        467 |         torch.utils._cxx_pytree
import time:       163 |        163 |           optree
import time:       321 |        483 |         torch.utils._cxx_pytree
import time:       186 |        186 |           optree
import time:       556 |        742 |         torch.utils._cxx_pytree
import time:       129 |        129 |           optree
import time:       604 |        732 |         torch.utils._cxx_pytree
import time:       120 |        120 |           optree
import time:       397 |        516 |         torch.utils._cxx_pytree
import time:        86 |         86 |           optree
import time:       345 |        431 |         torch.utils._cxx_pytree
import time:        89 |         89 |           optree
import time:       349 |        437 |         torch.utils._cxx_pytree
import time:        86 |         86 |           optree
import time:       330 |        415 |         torch.utils._cxx_pytree
import time:        82 |         82 |           optree
import time:       311 |        393 |         torch.utils._cxx_pytree
import time:        84 |         84 |           optree
import time:       306 |        390 |         torch.utils._cxx_pytree
import time:        83 |         83 |           optree
import time:       313 |        396 |         torch.utils._cxx_pytree
import time:       146 |        146 |           optree
import time:       554 |        699 |         torch.utils._cxx_pytree
import time:       140 |        140 |           optree
import time:       609 |        749 |         torch.utils._cxx_pytree
import time:        86 |         86 |           optree
import time:       356 |        441 |         torch.utils._cxx_pytree
import time:       167 |        167 |           optree
import time:       347 |        514 |         torch.utils._cxx_pytree
import time:       171 |        171 |           optree
import time:       497 |        668 |         torch.utils._cxx_pytree
import time:       110 |        110 |           optree
import time:       654 |        764 |         torch.utils._cxx_pytree
import time:       141 |        141 |           optree
import time:       492 |        632 |         torch.utils._cxx_pytree
import time:        94 |         94 |           optree
import time:       440 |        533 |         torch.utils._cxx_pytree
import time:       105 |        105 |           optree
import time:       361 |        465 |         torch.utils._cxx_pytree
import time:        87 |         87 |           optree
import time:       348 |        434 |         torch.utils._cxx_pytree
import time:        86 |         86 |           optree
import time:       332 |        418 |         torch.utils._cxx_pytree
import time:        87 |         87 |           optree
import time:       328 |        414 |         torch.utils._cxx_pytree
import time:        91 |         91 |           optree
import time:       321 |        411 |         torch.utils._cxx_pytree
import time:        87 |         87 |           optree
import time:       317 |        404 |         torch.utils._cxx_pytree
import time:        84 |         84 |           optree
import time:       360 |        444 |         torch.utils._cxx_pytree
import time:        84 |         84 |           optree
import time:       338 |        422 |         torch.utils._cxx_pytree
import time:        88 |         88 |           optree
import time:       361 |        449 |         torch.utils._cxx_pytree
import time:        84 |         84 |           optree
import time:       316 |        400 |         torch.utils._cxx_pytree
import time:       111 |        111 |           optree
import time:       563 |        673 |         torch.utils._cxx_pytree
import time:        93 |         93 |           optree
import time:       379 |        472 |         torch.utils._cxx_pytree
import time:        88 |         88 |           optree
import time:       383 |        470 |         torch.utils._cxx_pytree
import time:       115 |        115 |           optree
import time:       315 |        429 |         torch.utils._cxx_pytree
import time:        82 |         82 |           optree
import time:       308 |        389 |         torch.utils._cxx_pytree
import time:        82 |         82 |           optree
import time:       295 |        377 |         torch.utils._cxx_pytree
import time:        84 |         84 |           optree
import time:       329 |        412 |         torch.utils._cxx_pytree
import time:        80 |         80 |           optree
import time:       309 |        388 |         torch.utils._cxx_pytree
import time:        81 |         81 |           optree
import time:       309 |        389 |         torch.utils._cxx_pytree
import time:        81 |         81 |           optree
import time:       314 |        395 |         torch.utils._cxx_pytree
import time:    479524 |     517392 |       torch.return_types
import time:    465155 |     465155 |                       torchgen.code_template
import time:    399572 |     864726 |                     torchgen.utils
import time:    507955 |    1372680 |                   torchgen.model
import time:    450612 |     450612 |                   torch._custom_op.autograd
import time:    520423 |    2343714 |                 torch._custom_op.impl
import time:    396090 |     396090 |                 torch.utils._content_store
import time:    424198 |    3164001 |               torch._prims.debug_prims
import time:    482200 |     482200 |                 torch._prims_common.wrappers
import time:   1882366 |    2364566 |               torch._prims.rng_prims
import time:   1906305 |    7434870 |             torch._prims
import time:    431743 |     431743 |             torch._higher_order_ops.out_dtype
import time:    525893 |    8392506 |           torch._decomp.decompositions
import time:   1694046 |    1694046 |             torch._refs._conversions
import time:    472442 |     472442 |             torch._refs.fft
import time:    474143 |     474143 |             torch._refs.linalg
import time:    373992 |     373992 |               torch._refs.nn
import time:    557508 |     931499 |             torch._refs.nn.functional
import time:    469007 |     469007 |             torch._refs.special
import time:    701123 |    4742258 |           torch._refs
import time:    624264 |   13759027 |         torch._decomp
import time:   1301759 |   15060785 |       torch._meta_registrations
import time:    580927 |     580927 |           torch.fx.experimental.const_fold
import time:    577337 |    1158263 |         torch._functorch.eager_transforms
import time:    397842 |     397842 |         torch._functorch.functional_call
import time:    478980 |     478980 |         torch._functorch.batch_norm_replacement
import time:    485847 |    2520931 |       torch.func
import time:    477959 |     477959 |       torch.compiler
import time:    440258 |   27040092 |     torch
import time:        42 |   27040134 |   torch.utils
import time:        43 |   27040177 | torch.utils.data
Traceback (most recent call last):
  File "/Users/thomas/Documents/study/data-science-browser/scripts/data.py", line 140, in <module>
    for batch in train_loader:
  File "/Users/thomas/Documents/study/data-science-browser/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py", line 631, in __next__
    data = self._next_data()
           ^^^^^^^^^^^^^^^^^
  File "/Users/thomas/Documents/study/data-science-browser/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py", line 675, in _next_data
    data = self._dataset_fetcher.fetch(index)  # may raise StopIteration
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/thomas/Documents/study/data-science-browser/.venv/lib/python3.12/site-packages/torch/utils/data/_utils/fetch.py", line 54, in fetch
    return self.collate_fn(data)
           ^^^^^^^^^^^^^^^^^^^^^
  File "/Users/thomas/Documents/study/data-science-browser/.venv/lib/python3.12/site-packages/torch/utils/data/_utils/collate.py", line 277, in default_collate
    return collate(batch, collate_fn_map=default_collate_fn_map)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/thomas/Documents/study/data-science-browser/.venv/lib/python3.12/site-packages/torch/utils/data/_utils/collate.py", line 129, in collate
    return elem_type({key: collate([d[key] for d in batch], collate_fn_map=collate_fn_map) for key in elem})
                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/thomas/Documents/study/data-science-browser/.venv/lib/python3.12/site-packages/torch/utils/data/_utils/collate.py", line 129, in collate
    return elem_type({key: collate([d[key] for d in batch], collate_fn_map=collate_fn_map) for key in elem})
                           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/Users/thomas/Documents/study/data-science-browser/.venv/lib/python3.12/site-packages/torch/utils/data/_utils/collate.py", line 140, in collate
    raise RuntimeError('each element in list of batch should be of equal size')
RuntimeError: each element in list of batch should be of equal size
